artists,duration_ms,explicit,id,key,modified_query,name,num_weeks,popularity,release_date,search_query,uri
,284855.0,True,,"Cardi B, Chance the Rapper",,Best Life (feat. Chance The Rapper),3,,2018-04-06,cardi b best life,spotify:track:00B7TZ0Xawar6NZ00JFomN
,181623.0,True,,Cardi B,,Bickenhead,2,,2018-04-06,cardi b bickenhead,spotify:track:17Yq72h0p15OhCbZ5lJ5gd
,220395.0,False,,2017 Dynamo Hitz,,Bodak Yellow (Money Moves),34,,2017-09-13,cardi b bodak yellow (money moves),spotify:track:3g2qgbWPl8TcgJIkstWpSV
,262308.0,True,,"Cardi B, Migos",,Drip (feat. Migos),10,,2018-04-06,cardi b drip,spotify:track:2qcG0nZ6S3zZV0UrkY5nFo
,231453.0,True,,Cardi B,,Get Up 10,2,,2018-04-06,cardi b get up 10,spotify:track:7p2ewixAShLpjDZrnzZK7c
,200205.0,True,,"Cardi B, SZA",,I Do (feat. SZA),5,,2018-04-06,cardi b i do,spotify:track:1f5PNhkNgUpvDEeZfcIlO1
,229004.0,True,,Cardi B,,Money Bag,2,,2018-04-06,cardi b money bag,spotify:track:1vBeIXlzbAieGoDqInav5j
,177139.0,True,,"Cardi B, Kehlani",,Ring (feat. Kehlani),4,,2018-04-06,cardi b ring,spotify:track:5DfWF0jqMgZDCiu9zJENTA
,230952.0,True,,"Cardi B, YG",,She Bad,2,,2018-04-06,cardi b she bad,spotify:track:0CfmNX2TXk7yoJqHJiixnp
,188523.0,True,,Cardi B,,Thru Your Phone,3,,2018-04-06,cardi b thru your phone,spotify:track:74cVJfmK18rhWnscIpGXjt
,253390.0,True,,"Cardi B, Bad Bunny, J Balvin",,I Like It,13,,2018-04-06,"cardi b, bad bunny i like it",spotify:track:58q2HKrzhC3ozto2nDdN4z
,197826.0,False,,Carly Pearce,,If My Name Was Whiskey,17,,2017-10-13,carly pearce every little thing,spotify:track:2EXCLMhZF0XqmdCsSMYwt3
,246466.0,False,,Carrie Underwood,,Cry Pretty,4,,2018-04-11,carrie underwood cry pretty,spotify:track:47gqRMoIkFm7Rac86xZVh7
,204093.0,False,,Carrie Underwood,,Dirty Laundry,1,,2015-10-23,carrie underwood dirty laundry,spotify:track:5qRRiqndqXaq2QBudIrkYU
,223998.0,False,,"Carrie Underwood, Ludacris",,The Champion,3,,2018-01-12,carrie underwood the champion,spotify:track:0stPNUkU1LZnvxIcfrKnEZ
,417920.0,True,,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",,Te Boté - Remix,11,,2018-04-13,"casper magico, nio garcia, darell, nicky jam, ozuna te bote",spotify:track:3V8UKqhEK5zBkBb6d6ub8i
,208786.0,False,,Charlie Puth,,Attention,39,,2018-05-11,charlie puth attention,spotify:track:5cF0dROlMOK5uNZtivgu50
,180493.0,False,,"Charlie Puth, Kehlani",,Done for Me (feat. Kehlani),9,,2018-05-11,charlie puth done for me,spotify:track:1lsBTdE6MGsKeZCD6llNu7
,200853.0,False,,Charlie Puth,,How Long,23,,2018-05-11,charlie puth how long,spotify:track:6wmAHw1szh5RCKSRjiXhPe
